uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,subsampleID,subsampleCode,taxonID,scientificName,sex,testingID,testingIDCode,archiveID,archiveIDCode,individualIDList
"d0d943e8-11bf-4053-91f4-3c6708e64763","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDEXC","Aedes excrucians","F",,,"UNDE.2023.28.AEDEXC.F.A",,
"68caa684-db3d-41f9-aa21-758276154a7e","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"CULMEL","Culiseta melanura","F",,,"UNDE.2023.28.CULMEL.F.A",,
"5d87e2b2-f5ee-433b-80bf-4f97ba318049","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDCIN","Aedes cinereus","F",,,"UNDE.2023.28.AEDCIN.F.A",,"MOS.D05.001632|MOS.D05.001631"
"4b1f8e16-3df1-444b-80aa-aadf7309608c","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDPUN","Aedes punctor","F",,,"UNDE.2023.28.AEDPUN.F.A",,
"020488f8-93da-4cbd-8b73-f4e274ae5a8c","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"COQPER","Coquillettidia perturbans","M",,,"UNDE.2023.28.COQPER.M.A",,
"a5665f22-80f4-4a50-8f72-c2aad16fcecd","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDDIA","Aedes diantaeus","F",,,"UNDE.2023.28.AEDDIA.F.A",,
"8c2c5834-2287-49a5-b0b0-dd674c226bc8","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDCAN3","Aedes canadensis canadensis","F",,,"UNDE.2023.28.AEDCAN3.F.A",,
"e9e3c141-5036-417e-8494-8e694bae73c9","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDSPP","Aedes sp.","M",,,"UNDE.2023.28.AEDSPP.M.A",,
"4c5cd195-7541-4756-b90b-12faf5188b98","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"COQPER","Coquillettidia perturbans","F",,,"UNDE.2023.28.COQPER.F.A",,
"b4d960c6-b40d-4ad9-b39b-e9ef61b2d39c","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-07-12T23:07Z","2023-07-13T12:50Z","UNDE_070.20230713.0750.S.01",,"COQPER","Coquillettidia perturbans","M",,,"UNDE.2023.28.COQPER.M.A",,
"bc918392-bca4-4cd3-b515-96814e3637df","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-07-12T23:07Z","2023-07-13T12:50Z","UNDE_070.20230713.0750.S.01",,"AEDCOM","Aedes communis","F",,,"UNDE.2023.28.AEDCOM.F.A",,
"247c626f-611d-40f7-ba2f-10b3afbb0521","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-07-12T23:07Z","2023-07-13T12:50Z","UNDE_070.20230713.0750.S.01",,"AEDPUN","Aedes punctor","F",,,"UNDE.2023.28.AEDPUN.F.A",,
"fa0c7cb9-c40e-4e40-91be-dec77e1a04ff","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-07-12T23:07Z","2023-07-13T12:50Z","UNDE_070.20230713.0750.S.01",,"COQPER","Coquillettidia perturbans","F",,,"UNDE.2023.28.COQPER.F.A",,
"1921fbb2-4860-4e82-9259-b526c5ed4200","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-07-12T23:07Z","2023-07-13T12:50Z","UNDE_070.20230713.0750.S.01",,"CULMEL","Culiseta melanura","F",,,"UNDE.2023.28.CULMEL.F.A",,
"ce963d43-2fba-4c94-891e-720594acc08e","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-07-12T23:07Z","2023-07-13T12:50Z","UNDE_070.20230713.0750.S.01",,"CULRES","Culex restuans","F",,,,,"MOS.D05.001810"
"0296faea-1c60-4606-b0b9-6dc380f5c8f5","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-07-12T23:07Z","2023-07-13T12:50Z","UNDE_070.20230713.0750.S.01",,"AEDVEX","Aedes vexans","F",,,,,"MOS.D05.001754"
"939b2104-2939-48d3-ab45-105620740cce","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-07-12T23:07Z","2023-07-13T12:50Z","UNDE_070.20230713.0750.S.01",,"AEDPRO","Aedes provocans","F",,,"UNDE.2023.28.AEDPRO.F.A",,
